# epoch,error,accuracy,hid_w0,hid_w1,hid_w2,hid_w3,hid_w4,hid_w5,hid_w6,hid_w7,hid_w8,hid_w9,hid_w10,hid_w11,hid_w12,hid_w13,hid_w14,hid_w15,hid_w16,hid_w17,hid_w18,hid_w19,hid_w20,hid_w21,hid_w22,hid_w23,hid_w24,out_w0,out_w1,out_w2,out_w3,out_w4,out_w5,out_w6,out_w7,out_w8,out_w9,out_w10,out_w11,out_w12,out_w13,out_w14,out_w15,out_w16,out_w17
1.000000000000000000e+00,6.884255839559511969e+01,3.333333333333333148e-01,4.302550587932896797e-01,-5.444579994323225274e-04,5.282074079252647714e-01,4.335947021775437560e-01,4.213105900068526144e-01,3.262565101159329295e-01,1.852262144272060762e-01,6.055806722417340637e-01,2.955652671283603983e-01,2.666618876988220421e-01,6.176869627515326755e-01,5.120430123908610298e-01,1.232379085078778025e-01,5.081296247068201044e-01,1.834595982201620845e-01,7.852890668782037675e-01,8.537512932380062480e-01,4.940867502538883738e-01,8.464934836689302911e-01,7.963409188330780597e-02,3.962864577619367168e-01,-5.251815719219985468e-01,9.162986253135380066e-02,-2.056964595574310717e-01,4.453157985254808937e-02,-5.869702867749489184e-02,-4.225466998402503394e-01,-5.433692669534677666e-01,-4.347010641791746455e-01,-3.056234168978337329e-01,4.272433152626292641e-01,-4.799246715211041292e-01,-1.933785078706883737e-02,-1.890221958197513541e-01,-1.708523175301670249e-01,-2.945928889748118951e-01,4.557196957724701236e-01,2.548368249473316194e-01,-1.469560737171275722e-01,3.834321808915165386e-01,6.424144373382667528e-01,1.749263346692500054e-01,6.703302491615277248e-01
2.000000000000000000e+00,6.535436344274913267e+01,3.333333333333333148e-01,4.369893237729778890e-01,3.337576784683930070e-02,5.498461419009254003e-01,4.450729699402896644e-01,4.234260258895936602e-01,3.237242065968817251e-01,1.743975476419112602e-01,5.961072812116190445e-01,2.965808906767566366e-01,2.680101411290728430e-01,6.145962249534390187e-01,4.971188146904475524e-01,1.127004220068205803e-01,5.044866381785132470e-01,1.831047194477224416e-01,7.853178841122385734e-01,8.538919632256838366e-01,4.941817441274894973e-01,8.465316416782961984e-01,7.964055271789438617e-02,3.855777732415474612e-01,-5.768954396159549081e-01,5.554512967786319477e-02,-2.188305633409900197e-01,4.317435357544212315e-02,-7.510502284192217826e-02,-4.600027382076306015e-01,-5.678029009112059988e-01,-4.576652066003229491e-01,-3.222252646359266004e-01,4.590554731645323239e-01,-5.085200512384770999e-01,-4.548565442852286339e-02,-2.182145336510368239e-01,-1.983663776087099540e-01,-3.231465390784774572e-01,4.510275117153083602e-01,1.744897290547101354e-01,-2.034113160888304794e-01,3.144635255026149712e-01,5.689775921872955999e-01,9.477314836107998686e-02,6.338494587229112076e-01
3.000000000000000000e+00,6.506447325567947360e+01,3.333333333333333148e-01,4.416859633074138869e-01,5.695272990406498315e-02,5.647325548235768711e-01,4.532276245105070211e-01,4.249315028960024554e-01,3.211869477328106459e-01,1.636272726946109701e-01,5.865522412361975357e-01,2.978872182311635974e-01,2.694779436072552437e-01,6.115472287021957998e-01,4.824408252505266725e-01,1.022842854677582652e-01,5.010211016107045667e-01,1.828116259333345262e-01,7.853505130681428525e-01,8.540504012908757270e-01,4.942891334301608430e-01,8.465745076479023190e-01,7.964744422420823311e-02,3.814799874886820596e-01,-5.959676539532087203e-01,4.200663130330829775e-02,-2.229339842063480237e-01,4.312543078055143531e-02,-6.955744919831474693e-02,-4.712476204567941362e-01,-5.714058397009312840e-01,-4.596770733810997545e-01,-3.168750348356356716e-01,4.832407311563271524e-01,-5.100426084727548437e-01,-4.595284688612322893e-02,-2.209642673235337751e-01,-1.989790773029698756e-01,-3.246345589151133360e-01,4.494107604038207193e-01,1.632362965405907695e-01,-1.979556623836604135e-01,3.139759820523740363e-01,5.646525686813788081e-01,8.369514317821594163e-02,6.095261505825937398e-01
4.000000000000000000e+00,6.501324215458060962e+01,3.333333333333333148e-01,4.454435427569461425e-01,7.586300697362753642e-02,5.765516616671906291e-01,4.599600104168322656e-01,4.262160977349497282e-01,3.183719018376510168e-01,1.516908615932203441e-01,5.759329763374783084e-01,2.994106455796080590e-01,2.711362849514127871e-01,6.081399056083575116e-01,4.660435106054430232e-01,9.062106662092206388e-02,4.972056457801613538e-01,1.825073817838246681e-01,7.853853942895516749e-01,8.542196507256109017e-01,4.944039589682763802e-01,8.466203287787544829e-01,7.965473160487147875e-02,3.789146588252369496e-01,-6.078617942180544187e-01,3.379932979258477160e-02,-2.258948512551423871e-01,4.296848536362991161e-02,-6.299170724081604167e-02,-4.789320481504719673e-01,-5.748855971399582376e-01,-4.616585257159786515e-01,-3.105065232179801127e-01,5.050033322834974747e-01,-5.101112167994171775e-01,-4.516769939616904761e-02,-2.224544283420930857e-01,-1.980579095119933963e-01,-3.246690855401287434e-01,4.481904186178811145e-01,1.567679049471786823e-01,-1.904141737699462655e-01,3.191744131069313428e-01,5.659294520609891022e-01,7.740031567719161953e-02,5.878546247952924908e-01
5.000000000000000000e+00,6.497228606804775097e+01,3.333333333333333148e-01,4.485878695583997433e-01,9.172553518929556227e-02,5.863837341750818277e-01,4.657415715931651490e-01,4.273495928724477810e-01,3.151755027230453976e-01,1.381474281977749519e-01,5.638570865877998717e-01,3.012116193605701153e-01,2.730478715685663582e-01,6.042211841735612987e-01,4.471899890814570733e-01,7.717689087713153206e-02,4.928882363112364051e-01,1.821856971403416903e-01,7.854224932954513294e-01,8.543995842601000978e-01,4.945261226132314225e-01,8.466690776164885746e-01,7.966242624560362917e-02,3.773405661156755686e-01,-6.151761289904311703e-01,2.907137947989242924e-02,-2.282965057263984243e-01,4.266655907091174843e-02,-5.631739058884455140e-02,-4.847298038695141975e-01,-5.793472787866582596e-01,-4.648018980281212187e-01,-3.040291955886960662e-01,5.254085820512731653e-01,-5.101104949523986853e-01,-4.441205422460808155e-02,-2.240977069943452249e-01,-1.969482505506952030e-01,-3.246343249132583320e-01,4.471563811895785112e-01,1.503373075846647089e-01,-1.846154134449763951e-01,3.256834393228574820e-01,5.683813304776517139e-01,7.114280976901703191e-02,5.675281334069169903e-01
6.000000000000000000e+00,6.492140907872145306e+01,3.333333333333333148e-01,4.512983724728493184e-01,1.054260164953128576e-01,5.948200249160595643e-01,4.708264781584637904e-01,4.283672679873074540e-01,3.114744885986748812e-01,1.224851195477026089e-01,5.498457184192194758e-01,3.034102056282653170e-01,2.753066211991789802e-01,5.995933670852103825e-01,4.249342568366712425e-01,6.125496087656598365e-02,4.878982739943623637e-01,1.818491937694917959e-01,7.854619228075306880e-01,8.545907455571990496e-01,4.946559944968931810e-01,8.467209035674929662e-01,7.967055099862983825e-02,3.765795716076745792e-01,-6.187434004621875649e-01,2.721578303046983879e-02,-2.302904123684486604e-01,4.222666127985717083e-02,-4.936251301849800543e-02,-4.889214294410475503e-01,-5.849291780186928191e-01,-4.693936399757442368e-01,-2.972711079570801718e-01,5.451045540064217709e-01,-5.101076442502927577e-01,-4.371869877789882897e-02,-2.260504151644472381e-01,-1.956805354167674149e-01,-3.245973976161729002e-01,4.462415690674120250e-01,1.434634378027998536e-01,-1.805812935242587514e-01,3.334182890473631478e-01,5.719456919475843781e-01,6.444171660138195423e-02,5.478908283838693771e-01
7.000000000000000000e+00,6.485127322654138027e+01,3.333333333333333148e-01,4.536935667056235522e-01,1.175490584959508616e-01,6.022500016591204597e-01,4.753834529135168019e-01,4.292927372303060873e-01,3.070866262471240726e-01,1.039580731596478208e-01,5.331819933567550907e-01,3.062209513362028068e-01,2.780662300380869478e-01,5.939314680047053097e-01,3.977266823591907863e-01,4.170247343104702131e-02,4.819805014433198309e-01,1.815125302420233233e-01,7.855038886401084497e-01,8.547941246923059788e-01,4.947942509105063280e-01,8.467760784912705674e-01,7.967914539637886706e-02,3.765601093273013844e-01,-6.189018657150112679e-01,2.800187790691050643e-02,-2.319676979094614511e-01,4.164053384111034151e-02,-4.184713557583003007e-02,-4.915199052337652086e-01,-5.918211775643249517e-01,-4.759244075178308275e-01,-2.899523843640879894e-01,5.646043280271441089e-01,-5.100879109647361576e-01,-4.305244863924637122e-02,-2.284581654382812632e-01,-1.941881333823063660e-01,-3.245434748810710479e-01,4.454095723218815528e-01,1.358654621573043286e-01,-1.783005567491741938e-01,3.427028699976633619e-01,5.770382375462952407e-01,5.701627486057932181e-02,5.284299130889372753e-01
8.000000000000000000e+00,6.474498976208522549e+01,3.333333333333333148e-01,4.558594733242679053e-01,1.285184642121986742e-01,6.089562101821702766e-01,4.795344049544723042e-01,4.301430284195543186e-01,3.017210649831497116e-01,8.139767960529573076e-02,5.127046179776333368e-01,3.100588452237266757e-01,2.816010833090450971e-01,5.866371874370502892e-01,3.627310536054572099e-01,1.637836236880079246e-02,4.747342577498091520e-01,1.812312173674057725e-01,7.855487306758314192e-01,8.550113574988793541e-01,4.949420094444113016e-01,8.468350520506647827e-01,7.968827471767389592e-02,3.772840536339527318e-01,-6.156557264231212745e-01,3.146411595917460863e-02,-2.334010365918421093e-01,4.088007547675266001e-02,-3.335028037205866464e-02,-4.923051281773987986e-01,-6.003561575058177224e-01,-4.854171154655536613e-01,-2.816521477165360166e-01,5.843910030000305511e-01,-5.100152202797346712e-01,-4.236205757066049266e-02,-2.316006188210671390e-01,-1.923629545836573473e-01,-3.244363684615912957e-01,4.446384212347379572e-01,1.271086235796174690e-01,-1.780086710722331433e-01,3.541205621628756850e-01,5.845346022051858270e-01,4.843180313192516767e-02,5.086585035958109957e-01
9.000000000000000000e+00,6.456024392080220764e+01,3.333333333333333148e-01,4.578657157834969404e-01,1.386762001185955773e-01,6.151677578229939325e-01,4.833758019582007903e-01,4.309312451363914165e-01,2.948722265358941774e-01,5.283045937586650087e-02,4.863519176864182780e-01,3.158332342405014148e-01,2.864635497610286685e-01,5.764280377421151513e-01,3.139448380005268602e-01,-1.937638110078371972e-02,4.655862704612965808e-01,1.812423816898032225e-01,7.855970321015206537e-01,8.552452511272530256e-01,4.951011861885643572e-01,8.468985971945375280e-01,7.969805185398042002e-02,3.788282167474920636e-01,-6.086737962563878446e-01,3.791380215290435229e-02,-2.346653412415466433e-01,3.988874607878496736e-02,-2.309476702590557151e-02,-4.906454872930300914e-01,-6.110648452261649988e-01,-5.002952182263398218e-01,-2.715934175210826251e-01,6.050085497734365436e-01,-5.097873769100638164e-01,-4.153030658462373431e-02,-2.361045694112476889e-01,-1.900554265956686806e-01,-3.241736647516407777e-01,4.439128834593598638e-01,1.163518729495264248e-01,-1.804048953033709213e-01,3.687578754971733708e-01,5.965447671242136707e-01,3.784735103498908931e-02,4.880249053701926631e-01
1.000000000000000000e+01,6.415019989321929472e+01,3.333333333333333148e-01,4.597787107165658416e-01,1.483469101363799336e-01,6.211031797633639329e-01,4.869973286057152628e-01,4.316692475198293799e-01,2.855545854983282394e-01,1.460248462607548724e-02,4.499720288415153813e-01,3.259253939662753452e-01,2.939752909869567943e-01,5.598419148873808870e-01,2.358182746346748349e-01,-7.859878100337513995e-02,4.551449668736263221e-01,1.830808489300805031e-01,7.856499218497918768e-01,8.555012365633435367e-01,4.952754779012145114e-01,8.469682163871165015e-01,7.970869994767286471e-02,3.813771563720667612e-01,-5.971494003371966564e-01,4.806706718901818109e-02,-2.358603355057323214e-01,3.856115282829433027e-02,-9.264494815481666423e-03,-4.848414269723094194e-01,-6.246017417940610272e-01,-5.280434755729106477e-01,-2.579605903960415780e-01,6.272035679314907908e-01,-5.089016455643607939e-01,-4.002954098628448004e-02,-2.436304945014125256e-01,-1.876836728833160828e-01,-3.232520433477186761e-01,4.432051657785688881e-01,1.015146859975711163e-01,-1.874671453538606092e-01,3.889170801412258904e-01,6.202596975237636423e-01,2.318247833323532417e-02,4.657846633815899695e-01
